Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,r_squared_surge,a_sway,b_sway,c_sway,r_squared_sway,a_heave,b_heave,c_heave,r_squared_heave,a_roll,b_roll,c_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,r_squared_yaw
0.6,0.4,-0.041666667,0.004004539,-0.142139185,1.243872698,0.966260649,3.80E-07,-1.21E-05,9.04E-05,0.31543991,0.003621019,-0.143366983,1.366721721,0.706580251,0.000390371,-0.027733687,0.370079083,0.300317039,-0.690078514,6.885402199,112.0790593,0.112151026,0.000101959,-0.003817187,0.036082019,0.928777493
0.6,0.4,-0.0625,0.002739286,-0.113053297,1.225752152,0.91583309,2.04E-07,-2.06E-05,0.000310829,0.57817913,-0.000822483,-0.045923903,1.194656989,0.767666853,0.003742222,-0.131703794,1.125207336,0.986930833,-5.893519624,102.929477,209.2656477,0.069899156,0.000290262,-0.014565248,0.187571241,0.912877094
0.6,0.4,-0.083333333,0.003972099,-0.140556638,1.249885062,0.948027372,2.25E-07,-8.82E-06,8.52E-05,0.255388367,0.003285991,-0.12960724,1.247472837,0.925073764,-0.00017181,-0.014656286,0.335478237,0.471245429,-1.079240901,18.1689787,47.98135289,0.311942657,0.000131337,-0.004757611,0.043766455,0.964801256
0.6,0.4,-0.104166667,0.003912549,-0.13949757,1.242104907,0.970510899,3.39E-07,-1.10E-05,8.56E-05,0.280888775,0.003448712,-0.134403966,1.271647007,0.894476865,0.000150485,-0.028425955,0.467505128,0.35072588,-0.983746864,15.36814831,62.85135178,0.234679219,9.73E-05,-0.003737194,0.036453596,0.894021086
0.6,0.4,-0.125,0.004165069,-0.144235011,1.233706339,0.95316625,2.84E-07,-1.04E-05,9.28E-05,0.22549268,0.003567089,-0.138178198,1.295500708,0.85127075,0.000208279,-0.038044236,0.617786961,0.213333141,-1.08969513,16.21303382,82.3373483,0.135694657,7.77E-05,-0.003227363,0.03356802,0.935626037
0.7,0.35,-0.040816327,0.004209629,-0.145343943,1.233216041,0.960776012,-1.57E-07,1.74E-06,2.21E-05,0.13805594,0.003687603,-0.141855367,1.31822149,0.810596976,0.001109517,-0.055884301,0.631523219,0.317346018,-0.690543934,8.732062083,79.4889408,0.181464783,8.09E-05,-0.003205167,0.031832409,0.900916142
0.7,0.35,-0.06122449,0.0042535,-0.146508137,1.234905589,0.964639783,8.48E-08,-4.87E-06,5.98E-05,0.255697355,0.003830128,-0.14598141,1.342214135,0.755184346,0.001015837,-0.061857741,0.768699336,0.168621602,-0.539346268,5.369536575,87.45064678,0.158156688,7.59E-05,-0.002942703,0.028788354,0.91527787
0.7,0.35,-0.081632653,0.00395439,-0.140268503,1.24779599,0.948844339,2.12E-07,-9.25E-06,9.72E-05,0.32006191,0.003315447,-0.130401295,1.25070331,0.921841695,-0.00013264,-0.00975839,0.231623546,0.464804158,-1.046590504,17.42431831,50.11810891,0.297905339,0.000129688,-0.004548868,0.040719308,0.963474791
0.7,0.35,-0.102040816,0.003921066,-0.139642043,1.240373045,0.971465666,-2.46E-07,3.26E-06,2.51E-05,0.120425983,0.003505255,-0.135762955,1.276095286,0.888177014,-0.000340983,-0.010238547,0.307089954,0.229899811,-0.936506187,14.24398513,66.43449639,0.212622693,9.99E-05,-0.003647082,0.033814541,0.923707932
0.7,0.35,-0.12244898,0.002265634,-0.10477937,1.249590945,0.964625532,1.49E-06,-5.98E-05,0.000590444,0.93417435,-0.000912795,-0.041160676,1.158900891,0.853970767,0.00261965,-0.100813854,0.955404523,0.97971736,-4.846784881,97.02630099,-17.3980548,0.245876585,8.54E-05,-0.008995903,0.163160398,0.889503573
0.7,0.4,-0.042857143,0.002265634,-0.10477937,1.249590945,0.964625532,1.49E-06,-5.98E-05,0.000590444,0.93417435,-0.000912795,-0.041160676,1.158900891,0.853970767,0.00261965,-0.100813854,0.955404523,0.97971736,-4.846784881,97.02630099,-17.3980548,0.245876585,8.54E-05,-0.008995903,0.163160398,0.889503573
0.7,0.4,-0.064285714,0.002265634,-0.10477937,1.249590945,0.964625532,1.49E-06,-5.98E-05,0.000590444,0.93417435,-0.000912795,-0.041160676,1.158900891,0.853970767,0.00261965,-0.100813854,0.955404523,0.97971736,-4.846784881,97.02630099,-17.3980548,0.245876585,8.54E-05,-0.008995903,0.163160398,0.889503573
0.7,0.4,-0.085714286,0.002470818,-0.110223993,1.24705836,0.965295208,6.79E-07,-2.93E-05,0.000307276,0.85158308,-0.000793299,-0.050461875,1.248047441,0.636976075,0.002399168,-0.083347783,0.697774487,0.980055418,-0.531103574,5.69708052,95.57289811,0.159135362,0.000260771,-0.013179596,0.165547212,0.978890881
0.7,0.4,-0.107142857,0.002265634,-0.10477937,1.249590945,0.964625532,1.49E-06,-5.98E-05,0.000590444,0.93417435,-0.000912795,-0.041160676,1.158900891,0.853970767,0.00261965,-0.100813854,0.955404523,0.97971736,-4.846784881,97.02630099,-17.3980548,0.245876585,8.54E-05,-0.008995903,0.163160398,0.889503573
0.7,0.4,-0.128571429,0.002265634,-0.10477937,1.249590945,0.964625532,1.49E-06,-5.98E-05,0.000590444,0.93417435,-0.000912795,-0.041160676,1.158900891,0.853970767,0.00261965,-0.100813854,0.955404523,0.97971736,-4.846784881,97.02630099,-17.3980548,0.245876585,8.54E-05,-0.008995903,0.163160398,0.889503573
0.7,0.45,-0.050793651,0.002693426,-0.115729102,1.255578,0.966151983,2.86E-07,-1.52E-05,0.000180734,0.668214932,-0.000961254,-0.051353392,1.306173009,0.458877109,0.002106834,-0.071408879,0.579282956,0.976740759,-0.127642605,-2.813787301,102.6867913,0.10572553,0.000271026,-0.012786027,0.151224083,0.97797191
0.7,0.45,-0.06984127,0.002878081,-0.119324548,1.2471056,0.974130267,7.51E-08,-9.66E-06,0.000155383,0.658960031,0.00040946,-0.081700542,1.374250213,0.512869242,0.002221842,-0.072965674,0.566195118,0.961986483,0.009278263,-4.101006026,74.27438104,0.198313571,0.000352218,-0.015318101,0.168812343,0.982342453
2,1,-0.15,0.012102871,-0.245475805,1.260161299,0.960349187,0,0,0,1,0.009679528,-0.224946241,1.26638863,0.906500051,-9.32E-05,-0.000192738,0.012258744,0.311577287,-1.444252238,14.05079573,13.48539129,0.296843231,1.14E-05,-0.000249126,0.001395286,0.95640476
2,1,-0.2,0.012502566,-0.250192665,1.257406979,0.957430681,-2.94E-07,2.80E-06,2.90E-06,0.045828506,0.009999905,-0.230999577,1.287255929,0.874138195,-0.000808955,0.006277584,0.022378868,0.064497467,-1.409179067,13.22963799,17.2321206,0.229862272,1.33E-05,-0.000284647,0.001557481,0.907098525
2,1,-0.25,0.013170711,-0.257489545,1.249021425,0.962660848,0,0,0,1,0.010880684,-0.245313577,1.331426565,0.792041953,-4.33E-06,-0.000995677,0.010531575,0.322638938,-1.396187172,11.90574161,27.88946705,0.119312053,1.09E-05,-0.000234468,0.001252329,0.96455257
2,1,-0.3,0.01385236,-0.264543497,1.244269127,0.937691196,0,0,0,1,0.011337936,-0.251810415,1.346999492,0.770006309,9.65E-06,-0.001167124,0.010712948,0.25585921,-1.06374736,8.530488721,26.57280327,0.142972148,1.04E-05,-0.000220316,0.001158252,0.950768305
2,1,-0.35,0.012104733,-0.245337339,1.265410896,0.957996425,0,0,0,1,0.00944676,-0.220839633,1.253273363,0.922429922,-9.54E-06,-0.000417401,0.005534407,0.619118065,-1.405255391,13.93678943,11.10469262,0.374085551,1.17E-05,-0.000237723,0.001213085,0.931899214
2,1,-0.4,0.012250643,-0.246936954,1.259130176,0.954699178,0,0,0,1,0.009841738,-0.227182031,1.269984556,0.903052151,-2.93E-05,-0.000255117,0.00589294,0.364176812,-1.381703453,13.26996523,14.26251168,0.285358075,1.14E-05,-0.000233793,0.001253345,0.933250131
2,1.15,-0.130434783,0.012380609,-0.24863015,1.256511793,0.959054185,0,0,0,1,0.010197353,-0.232959845,1.286137834,0.879112816,-8.94E-06,-0.000562886,0.006692805,0.410127468,-1.298407852,12.02682656,17.20532569,0.248219741,1.43E-05,-0.000282342,0.001439012,0.929119149
2,1.15,-0.173913043,0.012319101,-0.248358848,1.255011398,0.971259482,8.01E-07,-1.21E-05,3.83E-05,0.337621597,0.010569819,-0.238778442,1.302098209,0.851871162,-5.15E-05,-0.000189374,0.007379607,0.17566955,-1.143115775,10.01591343,20.44039005,0.220825583,2.06E-05,-0.000371455,0.001622503,0.806088793
