Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,r_squared_yaw
0.5,0.3,-0.04,2.23E-05,0.002639789,-0.122158847,1.240170752,0.952237221,9.28E-08,-3.45E-06,3.30E-05,-3.22E-05,0.310303017,0.000474128,-0.013620942,0.028124373,1.03690508,0.939288922,0.00058332,-0.020560086,0.169715297,0.107494388,0.400957969,0.436916613,-16.78174053,167.0018805,-164.7057247,0.372722591,2.45E-06,9.53E-05,-0.00603711,0.064897454,0.947116822
0.5,0.3,-0.066666667,3.86E-05,0.002100955,-0.11804,1.228236815,0.976970481,5.25E-08,-1.83E-06,1.37E-05,2.92E-05,0.21185491,0.000546372,-0.015794627,0.042122041,1.038630113,0.88328094,0.000930105,-0.031856047,0.252137485,0.16888736,0.286062972,0.526970867,-19.48732095,184.2787616,-157.1160292,0.271851268,1.12E-06,0.000135074,-0.005949525,0.05715658,0.951663269
0.5,0.3,-0.093333333,8.17E-06,0.00334415,-0.131507894,1.239131041,0.975321655,9.22E-08,-3.35E-06,3.08E-05,-2.30E-05,0.481837642,0.000609842,-0.017735604,0.054895277,1.043962933,0.806063733,0.000558536,-0.017997227,0.116826126,0.33762466,0.492830631,0.316670088,-11.4711378,104.5445701,-65.63097813,0.453679398,-2.12E-06,0.00023224,-0.00677548,0.062132321,0.926943637
0.5,0.3,-0.12,2.06E-05,0.003007715,-0.129976129,1.236914625,0.971710018,9.22E-08,-3.35E-06,3.08E-05,-2.30E-05,0.481837642,0.000607927,-0.01732262,0.045986001,1.072474599,0.780540039,0.000681702,-0.021781745,0.139939747,0.392697338,0.309471717,0.392511347,-13.97479012,123.8249569,-64.26375036,0.269265739,-6.36E-06,0.000414924,-0.008959398,0.065808488,0.961202956
0.5,0.3,-0.146666667,-9.69E-05,0.007290127,-0.169564128,1.262735537,0.961605745,8.24E-09,-6.44E-08,-6.82E-06,9.32E-05,0.3212503,0.000632252,-0.017859801,0.045626875,1.098056603,0.689145976,0.000802976,-0.025988754,0.176462749,0.364102744,0.240473866,1.149064043,-40.80898039,361.7309132,-214.0078256,0.148150052,-4.22E-06,0.000305999,-0.00708799,0.054211959,0.940290867
0.5,0.35,-0.045714286,-8.13E-06,0.003918509,-0.136634728,1.255425525,0.954619069,2.94E-08,-1.12E-06,9.08E-06,3.36E-05,0.074208896,0.000351597,-0.008977218,-0.017932384,1.086681195,0.943860737,0.001091273,-0.038439503,0.317667027,0.180362822,0.309255032,0.321715625,-12.32463732,121.6194062,-109.9604468,0.502209964,1.63E-06,7.54E-05,-0.00474195,0.052939891,0.962787467
0.5,0.35,-0.068571429,-3.67E-06,0.003805588,-0.136357975,1.248085851,0.972120878,1.25E-07,-4.01E-06,2.45E-05,1.00E-04,0.612600963,0.000417238,-0.011039015,-0.003417874,1.084559112,0.903124153,0.000888791,-0.0282675,0.172204388,0.647126808,0.467835353,0.347220074,-12.91654214,122.4840575,-97.88806686,0.441211246,8.97E-07,7.71E-05,-0.004051754,0.043727811,0.877493179
0.5,0.35,-0.091428571,-7.74E-05,0.006652471,-0.164960869,1.273242472,0.947426459,1.40E-07,-4.43E-06,2.59E-05,0.000115267,0.530783669,0.000488967,-0.013298236,0.012986931,1.082550444,0.839170843,0.000748317,-0.021825752,0.085805173,0.944487772,0.468883399,0.422068723,-15.47414329,144.05669,-111.0042663,0.29333202,5.33E-06,-0.000115517,-0.001683767,0.037366347,0.854135717
0.5,0.35,-0.114285714,-3.94E-05,0.005313923,-0.153195081,1.25973536,0.967949406,1.27E-07,-4.17E-06,2.86E-05,6.48E-05,0.533646579,0.000509671,-0.013889589,0.015394884,1.096953547,0.798955441,0.000518454,-0.013352219,0.002688438,1.071177032,0.452600835,0.276736582,-9.963440055,89.43316975,-47.24730105,0.439521318,2.17E-07,0.000102449,-0.004298501,0.043820914,0.956248521
0.5,0.35,-0.137142857,-2.56E-05,0.004897374,-0.150485843,1.256876366,0.962292141,4.64E-08,-1.44E-06,7.20E-06,5.43E-05,0.426475772,0.000527448,-0.014256722,0.014420288,1.119071873,0.728667896,0.000408915,-0.010473744,5.44E-05,0.862598383,0.500387189,0.37406577,-13.34901009,118.2532927,-58.79958102,0.254241797,-2.34E-06,0.000196006,-0.005045528,0.041748181,0.943166582
