Length (m),Beam (m),Draft (m),Heading,Asurge,Bsurge,Csurge,R2surge,MAEsurge,Asway,Bsway,Csway,R2sway,MAEsway,Aheave,Bheave,Cheave,R2heave,MAEheave,Aroll,Broll,Croll,R2roll,MAEroll,Apitch,Bpitch,Cpitch,R2pitch,MAEpitch,Ayaw,Byaw,Cyaw,R2yaw,MAEyaw
0.3,0.15,-0.111111111,-135,0.269959823,0.254735257,0.783732487,0.979820232,0.034675349,0.272063792,0.266224282,0.775659295,0.969515732,0.043612383,-0.436981471,1.076419006,-10,0.63601821,0.21707339,49.41631017,6.914223311,20.1878449,0.989489162,1.405478076,697.1421527,5.868413637,0.848012408,0.986325643,8.109578948,96.30546197,9.645910945,28.08759997,0.996104562,1.696679222
0.3,0.15,-0.111111111,-90,0.999954324,-5.67E-05,6.49E-05,-0.34851723,2.34E-05,0.230374599,0.279653629,1.111389873,0.985117886,0.039232434,-0.445508683,1.047496594,-10,0.608651498,0.231582108,68.25866483,7.335406248,26.60873043,0.975161979,3.058765795,1.869169804,5.901198921,0.988624961,0.933904161,0.053059204,,,,,
0.3,0.15,-0.111111111,-45,0.269936244,0.254720581,0.783716557,0.979803602,0.034692115,0.272046847,0.266210983,0.775654286,0.969517894,0.043612045,-0.437031156,1.076394199,-10,0.635926263,0.217168267,49.41923771,6.914486176,20.18845329,0.989489496,1.405667958,697.3742166,5.869413845,0.84950474,0.986346025,8.110662138,96.29828918,9.645685057,28.09328408,0.996143847,1.69080194
0.3,0.15,-0.111111111,0,0.293540946,0.387545902,1.122983326,0.980528275,0.03852106,0.213771258,3.65E-08,0.000348704,0.837299053,2.94E-05,-0.428440842,1.102091218,-10,0.661832725,0.204945171,1.120387049,-1.461349193,34.86534914,0.994249525,0.014733259,1007.076373,5.881510639,0.85992437,0.984009084,14.65667788,0.090217392,-1.737587356,108.2779492,0.987032661,0.002558645
0.3,0.2,-0.033333333,-180,0.310136888,0.410263907,1.126267185,0.982074744,0.037076146,0.470846353,-3.40E-08,0.000517116,0.912074746,2.01E-05,-0.410732565,1.214943101,-10,0.7903776,0.1606064,8.478345786,-4.370333438,26.32535607,0.997286722,0.027788584,474.841743,5.583867707,2.116909079,0.979584322,11.87129955,0.096733082,-3.625342201,122.0062585,0.989229201,0.002166094
0.3,0.2,-0.033333333,-135,0.28326298,0.261694699,0.789756326,0.98279673,0.03148311,0.27965584,0.270971832,0.778476848,0.971014711,0.042182507,-0.41373033,1.199682364,-10,0.778236941,0.167972957,7.027360909,5.401633558,130.9041594,0.461625867,1.885237304,335.0370309,5.580406337,2.109096505,0.979512619,8.391727966,86.58005674,9.327718133,26.98303615,0.995837985,1.543794628
0.3,0.2,-0.033333333,-90,0.999888321,-9.78E-05,0.00014064,0.044029452,1.71E-05,0.244867266,0.302196653,1.112202875,0.98402842,0.041463644,-0.416313593,1.180600479,-10,0.764852449,0.176079143,16.72818431,12.91277512,117.2807761,0.433700849,2.935705715,0.8953511,5.498099831,1.625611709,0.833592821,0.053428381,,,,,
0.3,0.2,-0.033333333,-45,0.283249539,0.261693327,0.789746353,0.982793598,0.031487346,0.279647059,0.270979034,0.77846207,0.970993802,0.042194129,-0.413754022,1.199643012,-10,0.778110688,0.168027218,7.027611277,5.401999499,130.896615,0.461612021,1.885456491,335.4502289,5.581115629,2.106084551,0.979485261,8.405333606,86.57439192,9.327507966,26.98862401,0.995880093,1.536851117
0.3,0.2,-0.033333333,0,0.310114393,0.410225679,1.126261623,0.982072886,0.037076977,0.470846353,-3.40E-08,0.000517116,0.912074746,2.01E-05,-0.410755726,1.214925698,-10,0.790229999,0.160662643,8.476553287,-4.369214751,26.31953477,0.997285115,0.027792369,475.2784232,5.584413418,2.11481247,0.979557169,11.8879464,0.09668869,-3.621108075,122.0621759,0.989220338,0.00217322
0.3,0.2,-0.066666667,-180,0.329672294,0.436657904,1.13152288,0.981767829,0.034111851,0.383719951,0.000361686,6.94E-15,0.36408273,8.57E-05,-0.506158764,1.218951069,-10,0.336192854,0.423992386,10.66844433,3.588022825,0.58657088,0.984036417,0.116267293,688.7463783,5.799564563,1.347898851,0.969192203,17.92319307,0.097776677,-4.06512578,117.1145935,0.988891777,0.002022652
0.3,0.2,-0.066666667,-135,0.299378675,0.270143945,0.797600221,0.983766714,0.028630574,0.299709922,0.304750738,0.779734435,0.974207982,0.038682205,-0.510975962,1.209725604,-10,0.328110536,0.435042698,1077.066528,3.78386252,0.557716953,0.965014282,23.82484414,494.96267,5.811354092,1.365309312,0.963331853,13.69377195,78.31658281,9.069474811,26.20595106,0.995387086,1.42650739
0.3,0.2,-0.066666667,-90,0.999979524,-3.40E-05,6.26E-05,-0.418085256,2.82E-05,0.268893489,0.353088265,1.115580521,0.983474561,0.037930441,-0.515613132,1.199059093,-10,0.319912706,0.446373468,1530.484829,3.785227627,0.5582336,0.952886017,47.60823441,1.714127404,5.691329546,0.530688483,0.949363115,0.035073374,1.600981268,-50.62707355,889.4560541,0.846957966,0.00596315
0.3,0.2,-0.066666667,-45,0.299349594,0.270084054,0.797612453,0.983765358,0.028642774,0.299708909,0.304752954,0.779731401,0.97419937,0.038691979,-0.511027805,1.209698032,-10,0.327993115,0.435174571,1077.067109,3.783863036,0.557717342,0.965009572,23.8262253,497.7972892,5.812258608,1.356026692,0.963519844,13.68860343,78.31043677,9.069241771,26.21298784,0.995439612,1.419794418
0.3,0.2,-0.066666667,0,0.329651565,0.43666524,1.131500103,0.981756445,0.034128142,0.383719951,0.000361686,6.94E-15,0.36408273,8.57E-05,-0.506219349,1.218911231,-10,0.336037887,0.424149811,10.66714134,3.588020583,0.586601562,0.984028685,0.116302409,691.5645698,5.800297479,1.341558236,0.969287478,17.92036712,0.096951972,-3.874604832,113.207702,0.988628062,0.002156553
