Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,r_squared_surge,a_sway,b_sway,c_sway,r_squared_sway,a_heave,b_heave,c_heave,r_squared_heave,a_roll,b_roll,c_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,r_squared_yaw
0.5,0.35,-0.137142857,0.339757929,0.469516862,1.125786307,0.969154992,8.322148427,-0.000200615,0.000249901,-0.066666667,0.341643636,0.864238214,0.786030657,0.739009876,0.4313831,1.23728393,0.227705785,0.635206503,0.276880567,219.4178126,-133.2917346,0.221832286,0.275830611,0.008751574,0.040354138,0.943421857
0.6,0.3,-0.044444444,0.216606328,0.282424704,1.1087562,0.977119274,0.641559437,0.003183086,0.003456157,0.992227028,0.222469529,0.448126828,0.858699986,0.921025445,0.590677937,7.021612065,16.54980023,0.998038005,0.159748749,259.5871842,-299.8658907,0.232892141,0.155142644,0.029662679,0.27821784,0.847117651
0.6,0.3,-0.066666667,0.309081314,0.417124906,1.130985109,0.960429946,4.522909772,-0.000268977,0.000341277,0.083557951,0.319464677,0.645605191,0.875627754,0.940079117,0.252133249,0.394665725,0.011790451,0.216792748,0.220989152,147.3861761,-111.3585574,0.342175449,0.202173555,0.005339992,0.048765981,0.900041268
0.6,0.3,-0.088888889,0.309005006,0.409212923,1.132011256,0.980921319,3.667506284,9.76E-14,-1.58E-14,-0.098901099,0.325418668,0.693168266,0.85572258,0.901340345,0.290769129,0.564065803,0.001723554,0.283231168,0.237739446,165.8738221,-117.664821,0.300812501,0.285209424,0.011625295,0.041193332,0.921084137
0.6,0.3,-0.111111111,0.340082598,0.461354026,1.136058825,0.959243336,3.665567294,8.78E-13,-9.29E-14,-0.176470588,0.33000233,0.739861751,0.835633111,0.85447564,0.32204612,0.5538928,0.085461856,0.462263909,0.245738991,187.724018,-130.570351,0.236345907,0.260839043,0.010531153,0.038083269,0.92279575
0.6,0.3,-0.133333333,0.332780218,0.44881454,1.132012737,0.976717431,6.092394313,-0.000315129,0.000399318,0.47826087,0.336840345,0.789418752,0.818724897,0.824747196,0.350162933,0.70979741,0.048289368,0.407494427,0.266602672,152.5665816,-92.25728022,0.380167085,0.281740252,0.010327388,0.03829732,0.962122322
0.6,0.35,-0.047619048,0.336243676,0.45921819,1.127985276,0.973228428,5.235473331,-0.000289219,0.000366521,0.478260869,0.344300487,0.846891164,0.799457817,0.773573627,0.349199561,1.030811262,-0.128636923,0.259181162,0.27678628,188.680981,-112.6476357,0.262748784,0.255832295,0.004848754,0.045040448,0.959397319
0.6,0.35,-0.066666667,0.304304165,0.409292638,1.131582093,0.961954232,6.556151093,-0.000180627,0.000210663,-0.169590647,0.317688164,0.632311634,0.881472368,0.949428864,0.244267175,0.163585094,0.076575605,0.417771488,0.218319058,138.5647355,-104.5494621,0.379757465,0.306166986,0.017726773,0.046996033,0.963812519
0.6,0.35,-0.085714286,0.30525516,0.401873064,1.132696799,0.981324824,3.925067154,5.95E-14,4.18E-15,-0.086956522,0.326089435,0.687813617,0.860117612,0.911818613,0.259125667,0.304231121,0.003936092,0.229656804,0.236828305,156.1978116,-110.0833317,0.333539182,0.296952826,0.012925731,0.043044101,0.95609516
0.6,0.35,-0.104761905,0.337813118,0.454863943,1.137493206,0.957201161,5.52461465,-0.000148652,0.000188616,0.02173913,0.332936389,0.741126756,0.839645174,0.868498534,0.288341371,0.466037427,-0.054722349,0.21483279,0.246393592,182.1329234,-125.7304262,0.243549834,0.289395736,0.012070955,0.037489637,0.956467737
0.6,0.35,-0.123809524,0.330306617,0.443038183,1.13248086,0.977490783,6.977452444,8.59E-12,9.68E-13,-0.176470588,0.341548439,0.797665372,0.821748922,0.833158311,0.30532562,0.412767762,0.002640793,0.279343877,0.268850643,151.8651061,-90.84527153,0.37538498,0.298538936,0.011216686,0.036117186,0.963516679
0.6,0.4,-0.041666667,0.335308123,0.458275064,1.126720902,0.972662645,6.411338913,-0.000327191,0.000412444,0.615384615,0.348542174,0.860597414,0.798532219,0.767078788,0.327081295,0.343373271,0.053328798,0.433245346,0.278752557,195.2130793,-116.3815207,0.247428488,0.279002731,0.008474682,0.035360956,0.933655122
0.6,0.4,-0.0625,0.233998341,0.253462513,1.152601609,0.919167183,0.39632458,0.000437494,-1.55E-05,0.915788502,0.230539501,0.52907672,0.799580873,0.787532627,0.359724307,0.481632319,0.994870951,0.992455065,0.223879193,642.0789056,-544.7932768,0.111789045,0.193446566,0.02908814,0.181128655,0.911398215
0.6,0.4,-0.083333333,0.328669457,0.454357503,1.132180732,0.960342711,5.084214748,-0.000286942,0.000361224,0.478260869,0.338580926,0.656390998,0.893842569,0.962038972,0.263955256,0.220274333,0.132330106,0.568347336,0.226730793,117.8716846,-82.33091905,0.455340032,0.302616913,0.013480133,0.040353744,0.972651343
0.6,0.4,-0.104166667,0.325650094,0.434891691,1.135942126,0.979712806,5.11162574,-0.000287729,0.000362215,0.615384615,0.34464374,0.70203858,0.875907047,0.934818401,0.297472359,0.378792592,0.106330803,0.474139569,0.240034909,133.6658319,-90.53416993,0.390193378,0.268649633,0.00860898,0.034808738,0.894459501
0.6,0.4,-0.125,0.351026544,0.479132471,1.137278379,0.966141839,4.73713225,-0.000277202,0.000348907,0.354838709,0.348375387,0.74488177,0.857529945,0.89597368,0.311661396,0.590671845,0.036630058,0.323858347,0.24753282,168.5076343,-115.2345057,0.244726167,0.258784856,0.008405321,0.030754428,0.930141726
